Id,Y,M,D,输出
1,1990,7,31,1990/8/1
2,1990,7,1,1990/7/2
3,1990,7,15,1990/7/16
4,1990,7,5,1990/7/6
5,1990,7,25,1990/7/26
6,1990,10,15,1990/10/16
7,1990,1,15,1990/1/16
8,1990,12,15,1990/12/16
9,1990,2,15,1990/2/16
10,1900,7,15,1900/7/16
11,1930,7,15,1930/7/16
12,2077,7,15,2077/7/16
13,2100,7,15,2100/7/16
14,1990,7,0,输入错误
15,1990,7,32,输入错误
16,1990,0,15,输入错误
17,1990,13,15,输入错误
18,1890,7,15,输入错误
19,2110,7,15,输入错误
20,1890,0,0,输入错误
21,1900,1,0,输入错误
22,1930,2,0,输入错误
23,2077,10,0,输入错误
24,2100,12,0,输入错误
25,2110,13,0,输入错误
26,1900,0,0,输入错误
27,1930,1,0,输入错误
28,1990,2,0,输入错误
29,2077,7,0,输入错误
30,2100,10,0,输入错误
31,2110,12,0,输入错误
32,1890,13,0,输入错误
33,1930,0,0,输入错误
34,1990,1,0,输入错误
35,2077,2,0,输入错误
36,2100,7,0,输入错误
37,2110,10,0,输入错误
38,1890,12,0,输入错误
39,1900,13,0,输入错误
40,1990,0,0,输入错误
41,2077,1,0,输入错误
42,2100,2,0,输入错误
43,2110,7,0,输入错误
44,1890,10,0,输入错误
45,1900,12,0,输入错误
46,1930,13,0,输入错误
47,2077,0,0,输入错误
48,2100,1,0,输入错误
49,2110,2,0,输入错误
50,1890,7,0,输入错误
51,1900,10,0,输入错误
52,1930,12,0,输入错误
53,1990,13,0,输入错误
54,2100,0,0,输入错误
55,2110,1,0,输入错误
56,1890,2,0,输入错误
57,1900,7,0,输入错误
58,1930,10,0,输入错误
59,1990,12,0,输入错误
60,2077,13,0,输入错误
61,2110,0,0,输入错误
62,1890,1,0,输入错误
63,1900,2,0,输入错误
64,1930,7,0,输入错误
65,1990,10,0,输入错误
66,2077,12,0,输入错误
67,2100,13,0,输入错误
68,1890,0,1,输入错误
69,1900,1,1,1900/1/2
70,1930,2,1,1930/2/2
71,2077,10,1,2077/10/2
72,2100,12,1,2100/12/2
73,2110,13,1,输入错误
74,1900,0,1,输入错误
75,1930,1,1,1930/1/2
76,1990,2,1,1990/2/2
77,2077,7,1,2077/7/2
78,2100,10,1,2100/10/2
79,2110,12,1,输入错误
80,1890,13,1,输入错误
81,1930,0,1,输入错误
82,1990,1,1,1990/1/2
83,2077,2,1,2077/2/2
84,2100,7,1,2100/7/2
85,2110,10,1,输入错误
86,1890,12,1,输入错误
87,1900,13,1,输入错误
88,1990,0,1,输入错误
89,2077,1,1,2077/1/2
90,2100,2,1,2100/2/2
91,2110,7,1,输入错误
92,1890,10,1,输入错误
93,1900,12,1,1900/12/2
94,1930,13,1,输入错误
95,2077,0,1,输入错误
96,2100,1,1,2100/1/2
97,2110,2,1,输入错误
98,1890,7,1,输入错误
99,1900,10,1,1900/10/2
100,1930,12,1,1930/12/2
101,1990,13,1,输入错误
102,2100,0,1,输入错误
103,2110,1,1,输入错误
104,1890,2,1,输入错误
105,1900,7,1,1900/7/2
106,1930,10,1,1930/10/2
107,1990,12,1,1990/12/2
108,2077,13,1,输入错误
109,2110,0,1,输入错误
110,1890,1,1,输入错误
111,1900,2,1,1900/2/2
112,1930,7,1,1930/7/2
113,1990,10,1,1990/10/2
114,2077,12,1,2077/12/2
115,2100,13,1,输入错误
116,1890,0,5,输入错误
117,1900,1,5,1900/1/6
118,1930,2,5,1930/2/6
119,2077,10,5,2077/10/6
120,2100,12,5,2100/12/6
121,2110,13,5,输入错误
122,1900,0,5,输入错误
123,1930,1,5,1930/1/6
124,1990,2,5,1990/2/6
125,2077,7,5,2077/7/6
126,2100,10,5,2100/10/6
127,2110,12,5,输入错误
128,1890,13,5,输入错误
129,1930,0,5,输入错误
130,1990,1,5,1990/1/6
131,2077,2,5,2077/2/6
132,2100,7,5,2100/7/6
133,2110,10,5,输入错误
134,1890,12,5,输入错误
135,1900,13,5,输入错误
136,1990,0,5,输入错误
137,2077,1,5,2077/1/6
138,2100,2,5,2100/2/6
139,2110,7,5,输入错误
140,1890,10,5,输入错误
141,1900,12,5,1900/12/6
142,1930,13,5,输入错误
143,2077,0,5,输入错误
144,2100,1,5,2100/1/6
145,2110,2,5,输入错误
146,1890,7,5,输入错误
147,1900,10,5,1900/10/6
148,1930,12,5,1930/12/6
149,1990,13,5,输入错误
150,2100,0,5,输入错误
151,2110,1,5,输入错误
152,1890,2,5,输入错误
153,1900,7,5,1900/7/6
154,1930,10,5,1930/10/6
155,1990,12,5,1990/12/6
156,2077,13,5,输入错误
157,2110,0,5,输入错误
158,1890,1,5,输入错误
159,1900,2,5,1900/2/6
160,1930,7,5,1930/7/6
161,1990,10,5,1990/10/6
162,2077,12,5,2077/12/6
163,2100,13,5,输入错误
164,1890,0,15,输入错误
165,1900,1,15,1900/1/16
166,1930,2,15,1930/2/16
167,2077,10,15,2077/10/16
168,2100,12,15,2100/12/16
169,2110,13,15,输入错误
170,1900,0,15,输入错误
171,1930,1,15,1930/1/16
172,2100,10,15,2100/10/16
173,2110,12,15,输入错误
174,1890,13,15,输入错误
175,1930,0,15,输入错误
176,2077,2,15,2077/2/16
177,2110,10,15,输入错误
178,1890,12,15,输入错误
179,1900,13,15,输入错误
180,2077,1,15,2077/1/16
181,2100,2,15,2100/2/16
182,1890,10,15,输入错误
183,1900,12,15,1900/12/16
184,1930,13,15,输入错误
185,2077,0,15,输入错误
186,2100,1,15,2100/1/16
187,2110,2,15,输入错误
188,1900,10,15,1900/10/16
189,1930,12,15,1930/12/16
190,2100,0,15,输入错误
191,2110,1,15,输入错误
192,1890,2,15,输入错误
193,1930,10,15,1930/10/16
194,2077,13,15,输入错误
195,2110,0,15,输入错误
196,1890,1,15,输入错误
197,1900,2,15,1900/2/16
198,2077,12,15,2077/12/16
199,2100,13,15,输入错误
200,1890,0,25,输入错误
201,1900,1,25,1900/1/26
202,1930,2,25,1930/2/26
203,2077,10,25,2077/10/26
204,2100,12,25,2100/12/26
205,2110,13,25,输入错误
206,1900,0,25,输入错误
207,1930,1,25,1930/1/26
208,1990,2,25,1990/2/26
209,2077,7,25,2077/7/26
210,2100,10,25,2100/10/26
211,2110,12,25,输入错误
212,1890,13,25,输入错误
213,1930,0,25,输入错误
214,1990,1,25,1990/1/26
215,2077,2,25,2077/2/26
216,2100,7,25,2100/7/26
217,2110,10,25,输入错误
218,1890,12,25,输入错误
219,1900,13,25,输入错误
220,1990,0,25,输入错误
221,2077,1,25,2077/1/26
222,2100,2,25,2100/2/26
223,2110,7,25,输入错误
224,1890,10,25,输入错误
225,1900,12,25,1900/12/26
226,1930,13,25,输入错误
227,2077,0,25,输入错误
228,2100,1,25,2100/1/26
229,2110,2,25,输入错误
230,1890,7,25,输入错误
231,1900,10,25,1900/10/26
232,1930,12,25,1930/12/26
233,1990,13,25,输入错误
234,2100,0,25,输入错误
235,2110,1,25,输入错误
236,1890,2,25,输入错误
237,1900,7,25,1900/7/26
238,1930,10,25,1930/10/26
239,1990,12,25,1990/12/26
240,2077,13,25,输入错误
241,2110,0,25,输入错误
242,1890,1,25,输入错误
243,1900,2,25,1900/2/26
244,1930,7,25,1930/7/26
245,1990,10,25,1990/10/26
246,2077,12,25,2077/12/26
247,2100,13,25,输入错误
248,1890,0,31,输入错误
249,1900,1,31,1900/2/1
250,1930,2,31,输入错误
251,2077,10,31,2077/11/1
252,2100,12,31,2101/1/1
253,2110,13,31,输入错误
254,1900,0,31,输入错误
255,1930,1,31,1930/2/1
256,1990,2,31,输入错误
257,2077,7,31,2077/8/1
258,2100,10,31,2100/11/1
259,2110,12,31,输入错误
260,1890,13,31,输入错误
261,1930,0,31,输入错误
262,1990,1,31,1990/2/1
263,2077,2,31,输入错误
264,2100,7,31,2100/8/1
265,2110,10,31,输入错误
266,1890,12,31,输入错误
267,1900,13,31,输入错误
268,1990,0,31,输入错误
269,2077,1,31,2077/2/1
270,2100,2,31,输入错误
271,2110,7,31,输入错误
272,1890,10,31,输入错误
273,1900,12,31,1901/1/1
274,1930,13,31,输入错误
275,2077,0,31,输入错误
276,2100,1,31,2100/2/1
277,2110,2,31,输入错误
278,1890,7,31,输入错误
279,1900,10,31,1900/11/1
280,1930,12,31,1931/1/1
281,1990,13,31,输入错误
282,2100,0,31,输入错误
283,2110,1,31,输入错误
284,1890,2,31,输入错误
285,1900,7,31,1900/8/1
286,1930,10,31,1930/11/1
287,1990,12,31,1991/1/1
288,2077,13,31,输入错误
289,2110,0,31,输入错误
290,1890,1,31,输入错误
291,1900,2,31,输入错误
292,1930,7,31,1930/8/1
293,1990,10,31,1990/11/1
294,2077,12,31,2078/1/1
295,2100,13,31,输入错误
296,1890,0,32,输入错误
297,1900,1,32,输入错误
298,1930,2,32,输入错误
299,2077,10,32,输入错误
300,2100,12,32,输入错误
301,2110,13,32,输入错误
302,1900,0,32,输入错误
303,1930,1,32,输入错误
304,1990,2,32,输入错误
305,2077,7,32,输入错误
306,2100,10,32,输入错误
307,2110,12,32,输入错误
308,1890,13,32,输入错误
309,1930,0,32,输入错误
310,1990,1,32,输入错误
311,2077,2,32,输入错误
312,2100,7,32,输入错误
313,2110,10,32,输入错误
314,1890,12,32,输入错误
315,1900,13,32,输入错误
316,1990,0,32,输入错误
317,2077,1,32,输入错误
318,2100,2,32,输入错误
319,2110,7,32,输入错误
320,1890,10,32,输入错误
321,1900,12,32,输入错误
322,1930,13,32,输入错误
323,2077,0,32,输入错误
324,2100,1,32,输入错误
325,2110,2,32,输入错误
326,1890,7,32,输入错误
327,1900,10,32,输入错误
328,1930,12,32,输入错误
329,1990,13,32,输入错误
330,2100,0,32,输入错误
331,2110,1,32,输入错误
332,1890,2,32,输入错误
333,1900,7,32,输入错误
334,1930,10,32,输入错误
335,1990,12,32,输入错误
336,2077,13,32,输入错误
337,2110,0,32,输入错误
338,1890,1,32,输入错误
339,1900,2,32,输入错误
340,1930,7,32,输入错误
341,1990,10,32,输入错误
342,2077,12,32,输入错误
343,2100,13,32,输入错误
